exchange,symbol,instrument_token
NSE,1003GS2019-GS,1745921
NSE,COFFEEDAY,2858241
NSE,CANTABIL,5160961
NSE,CELEBRITY,3369473
NSE,COCHINSHIP,5506049
NSE,CHENNPETRO,524545
NSE,COALINDIA,5215745
NSE,IZMO,3628545
NSE,GANESHHOUC,3670785
NSE,DVL,3894785
NSE,DHFL-N1,4677633
NSE,DAAWAT,3536897
NSE,CREATIVEYE,2402305
NSE,CYIENT,1471489
NSE,DHFL,215553
NSE,DCW,209153
NSE,DHARSUGAR,221697
NSE,DUCON,7411713
NSE,DHFL-NG,4687873
NSE,DTIL,1594113
NSE,DLINKINDIA,4569857
NSE,DSSL,6576641
NSE,GANECOS,1777665
NSE,ENGINERSIN,1256193
NSE,EDELWEISS,3870465
NSE,ECLFINANCE-ND,1818881
NSE,ECLFINANCE-NS,2044417
NSE,ENERGYDEV,3852545
NSE,EIMCOELECO,1034241
NSE,ENDURANCE,4818433
NSE,GANDHITUBE,3613697
NSE,FCONSUMER,7689729
NSE,ESSARSHPNG,6562305
NSE,FCL,1586689
NSE,GAMMNINFRA,3939585
NSE,FMGOETZE,304641
NSE,GALLISPAT,5155841
NSE,RADAAN-BE,2884609
NSE,KHANDSE-BE,2469121
NSE,ICICILIQ,1238529
NSE,HERITGFOOD,1177089
NSE,21STCENMGM,1025
NSE,662GS2051-GS,1841409
NSE,684GS2022-GS,1833217
NSE,772GS2025-GS,1823489
NSE,819GS2020-GS,1795841
NSE,915GS2024-GS,1794561
NSE,ABFRL,7707649
NSE,AGROPHOS-SM,4861185
NSE,AJOONI-SM,232705
NSE,APTECHT,2753281
NSE,ARVEE-SM,376321
NSE,ASTERDM,386049
NSE,AUTOAXLES,71169
NSE,BAFNAPHARM,7433985
NSE,BALPHARMA,3440897
NSE,BATAINDIA,94977
NSE,BFUTILITIE,3729153
NSE,BHEL,112129
NSE,BLISSGVS,4931841
NSE,BRIGHT-SM,998657
NSE,CADSYS-SM,5586689
NSE,CCCL,3837953
NSE,CERA,3849985
NSE,CKPPRODUCT-SM,5300481
NSE,COROMANDEL,189185
NSE,CUB,1459457
NSE,DATAMATICS,2924289
NSE,DENORA,1095425
NSE,DHFL-N9,4684289
NSE,DHFL-NO,4734209
NSE,DHFL-Y2,872961
NSE,EASTSILK-BE,2500865
NSE,ECLFINANCE-NI,1096705
NSE,EHFLNCD-N2,4571649
NSE,EMCO,3352577
NSE,EXCEL,4448257
NSE,FILATEX,6280193
NSE,GABRIEL,277761
NSE,GEECEE,3496449
NSE,GILLETTE,403457
NSE,GLOBOFFS,3730433
NSE,GOKULAGRO-BE,3707905
NSE,GREENLAM,1753089
NSE,GTLINFRA,3518721
NSE,GULPOLY,1609217
NSE,HDFCBANK,341249
NSE,HFCL,5619457
NSE,HINDOILEXP,359169
NSE,HONDAPOWER,803329
NSE,HUDCO-NC,5111297
NSE,IBUCCREDIT-NC,1263617
NSE,IBULHSGFIN-ND,4770305
NSE,ICICI0102-NB,2716417
NSE,ICICI1100-NA,2413057
NSE,ICICINV20,4473601
NSE,IFCI,381697
NSE,IIFCL-N4,5134849
NSE,INDIANB,3663105
NSE,INDRAMEDCO,1216257
NSE,INOXWIND,2010113
NSE,IREDA-N2,353281
NSE,IRFC-NC,509697
NSE,JAGSNPHARM,1128961
NSE,JITFINFRA-BE,5041921
NSE,JOCIL,4333313
NSE,JUNIORBEES,2800385
NSE,KANSAINER,306177
NSE,KELLTONTEC,3438081
NSE,KKVAPOW-SM,4551937
NSE,KTIL,5350401
NSE,LATTEYS-SM,846593
NSE,LINCOLN,2968577
NSE,LUPIN,2672641
NSE,MALUPAPER,3418113
NSE,MANAV-SM,5554433
NSE,MARSHALL-SM,1183489
NSE,MCDOWELL-N,2674433
NSE,MOHITIND,7532289
NSE,MPTODAY-SM,5578753
NSE,MURUDCERA,592129
NSE,NARMADA-SM,697857
NSE,NHAI-N3,45057
NSE,NHBTF2014-N4,8183809
NSE,NIBL,7611649
NSE,NKIND,624385
NSE,NTPC-N5,8132097
NSE,OSWALSEEDS-SM,920833
NSE,PENIND,5278977
NSE,PNBHOUSING,4840449
NSE,PRADIP-BE,4700417
NSE,PRESTIGE,5197313
NSE,PUNJLLOYD,3364353
NSE,RBL,4286721
NSE,RECLTD-NB,750337
NSE,RELIGARE,3857409
NSE,RHFL-N5,4951297
NSE,RNAVAL,4465665
NSE,RTNPOWER,4485121
NSE,SAKHTISUG,760065
NSE,SANOFI,369153
NSE,SBIN-N6,5723137
NSE,SERVOTECH-SM,5529345
NSE,SGBMAY26-GB,740097
NSE,SHAHALLOYS,3035137
NSE,SHIRPUR-G,2510593
NSE,SHRIRAMEPC,3918849
NSE,SORILINFRA,3347457
NSE,SPMLINFRA,850177
NSE,SREIBNPNCD-NN,5004289
NSE,SREINFRA-NQ,897281
NSE,SREINFRA-Y9,5057793
NSE,SREINFRA-YO,525057
NSE,SRTRANSFIN-YJ,135169
NSE,STAN-DR,4851713
NSE,SUJANAUNI-BE,3917313
NSE,SUPERHOUSE,5277697
NSE,SYNGENE,2622209
NSE,TATACOMM,952577
NSE,TCFSL-N8,421121
NSE,TCS,2953217
NSE,THEJO-SM,7383553
NSE,TIPSINDLTD,2333953
NSE,TPLPLASTEH,2360065
NSE,TV18BRDCST,3637249
NSE,UMESLTD,4900353
NSE,VARDHACRLC,2872321
NSE,VHL,3044353
NSE,VIPULLTD,2156545
NSE,WABAG,5168129
NSE,WILLAMAGOR,965633
NSE,YESBANK,3050241
NSE,GPIL,3432705
NSE,GLENMARK,1895937
NSE,GEPIL,2012673
NSE,GLAXO,295169
NSE,ZYLOG-BZ,4396289
NSE,ZEEL-P2,4283905
NSE,WORTH-SM,5571329
NSE,VTL,530689
NSE,VIVIMEDLAB,3063041
NSE,VIKASECO,6593537
NSE,VBL,4843777
NSE,UTTAMSTL,930305
NSE,UNIONBANK,2752769
NSE,UBL,4278529
